"Home","Accueil"
"Go to Home Page","Aller en page d'accueil"
"Return to %s","Retour vers %s"
"News","Actualités et événements"
"Cannot retrieve the news","Impossible de retrouver l'article"
"Category Manager","Gérer les catégories"
"Add Category","Ajouter une catégorie"
"Comment Manager","Gérer les commentaires"
"News Manager","Gérer les articles"
"Add New Article","Ajouter un article"
"Save Category","Sauvegarder"
"Delete Category","Supprimer"
"Edit Category '%s'","Edition de la catégorie '%s'"
"ID","ID"
"Title","Titre"
"URL Key","Clé d'URL"
"Sort Order","Position"
"Action","Action"
"Edit","Editer"
"Delete","Supprimer"
"Are you sure?","Etes-vous sûr ?"
"Category Information","Informations de la catégorie"
"Keywords","Keywords"
"Meta Keywords","Meta Keywords"
"Description","Description"
"Meta Description","Meta Description"
"Save Comment","Sauvegarder"
"Delete Comment","Supprimer"
"Edit Comment By '%s'","Edition du commentaire '%s'"
"Add Comment","Ajouter un commentaire"
"Comment","Commentaire"
"Newsitem Title","Titre de l'article"
"User","Utilisateur"
"E-mail","E-mail"
"Created","Créé le"
"Status","Statut"
"Action","Action"
"News Article","Article"
"Go to News Article","Aller vers l'article"
"Approve","Approuvé"
"Not Approve","Non approuvé"
"Comment Information","Informations du commentaire"
"User","Utilisateur"
"Email Address","Adresse email"
"Unapproved","Désapprouvé"
"Approved","Approuvé"
"Save News Article","Sauvegarder"
"Delete News Article","Supprimer"
"Edit News Article '%s'","Edition de l'article '%s'"
"Add News Article","Ajouter un article"
"Author","Auteur"
"Updated","Mis à jour le"
"Enabled","Activé"
"Disabled","Désactivé"
"Comments","Commentaires"
"View comments","Voir les commentaires"
"Change status","Changer le statut"
"Main Information","Informations"
"Additional Options","Options additionnelles"
"News Time Settings","Paramètrages des dates de publication"
"News Time","Dates de la publication"
"Next to the Article will be stated current time","Next to the Article will be stated current time"
"Publish From:","Publié le :"
"Hours","Heure"
"Minutes","Minutes"
"Publish Until:","Publiez jusqu'à :"
"Meta Data","Meta Données"
"Advanced Post Options","Advanced Post Options"
"Author name","Nom de l'auteur"
"News information","Informations"
"Store View","Vue magasin"
"Category","Category"
"File","Fichier"
"Delete File","Supprimer le fichier"
"Link Name","Link Name"
"Add Tags","Ajouter des tags"
"Use Full Description Image","Utiliser la description complète + Image"
"Image for Short Description","Image pour la description courte"
"Resize Image Height","Hauteur de l'image"
"Resize Image Width","Taille de l'image"
"Show Image","Afficher l'image"
"Yes","Oui"
"No","Non"
"Short Description","Description courte"
"Image for Full Description","Image pour description"
"Full Description","Description"
"Comments are not enabled.","Les commentaires ne sont pas activés."
"Your comment has been successfully sent. It will be displayed after approval by our admin","Your comment has been successfully sent. It will be displayed after approval by our admin"
"Thank you for adding a comment.","Merci pour votre commentaire."
"Page access error","Erreur d'accès."
"Category was successfully saved","La catégorie a été sauvegardée avec succès."
"Category was successfully deleted","La catégorie a été supprimée avec succès."
"Comment was successfully saved","La commentaire a été sauvegardé avec succès."
"Comment was successfully deleted","Le commentaire a été supprimé avec succès."
"News article does not exist","L'article n'existe pas."
"News Item with such url_key already exists","Un article avec la même clé d'URL existe déjà."
"News Category with such url_key already exists","Une catégorie avec la même clé d'URL existe déjà."
"News article has been successfully saved","L'article a été sauvegardé avec succès."
"No items to save","No items to save"
"Platform version is not correct for News module!","La version de Magento n'est pas compatible avec le module !"
"Submit Comment","Soumettre le commentaire"
"Name","Nom"
"Email","Email"
"You must be logged in to post a comment.","Vous devez être connecté pour poser un commentaire."
"click here","cliquez-ici"
"to log in","to log in"
"News Settings","Configurations"
"News Title","Titre de l'article"
"Route to News","Route du module"
"Show Breadcrumbs","Afficher le fil ariane"
"Articles per Page","Articles par page"
"Articles Limit", "Nombre limite d'articles"
"The number of articles displayed per page","The number of articles displayed per page"
"Show Latest News Block","Show Latest News Block"
"Articles in the Latest News Block","Articles in the Latest News Block"
"Set the number","Saisir un nombre"
"Show Date of the News","Afficher la date des articles"
"Show Time of the News","Afficher l'heure des articles"
"Show Author of the News","Afficher l'auteur des articles"
"Show Category of the News","Afficher la catégorie des articles"
"default: view more","Par défaut : voir plus"
"Name of the Link","Nom du lien"
"Enable Link View More","Afficher le lien voir plus"
"example: view more","Exemple : voir plus"
"example: .html","Exemple : .html"
"Tags for the News","Tags pour l'article"
"Send comments to email","Envoyer le commentaire à l'email"
"Templare email","Template de l'email"
"Should comments be pre-moderated","Les commentaires doivent-ils être approuvés ?"
"Should user be logged in to leave a comment","Les utilisateurs doivent-ils être loggué pour poster un commentaire ?"
"Comments per Page","Nombre de commentaires par page"
"The number of comments displayed per page","The number of comments displayed per page"
"RSS Feed","RSS Feed"
"Articles to show","Articles to show"
"Number of articles to show in the RSS feed.","Number of articles to show in the RSS feed."
"Enable Link ""View More""","Enable Link ""View More"""
"e.g. ""news"" will make the news accessible from domain.com/news. Should not contain slashes. Leave blank for default - news","e.g. ""news"" will make the news accessible from domain.com/news. Should not contain slashes. Leave blank for default - news"
"Leave blank to disable","Leave blank to disable"
"Use comma for multiple words","Use comma for multiple words"
"e.g. domain.com/news/url_key","e.g. domain.com/news/url_key"
"e.g. Download attached document - default","e.g. Download attached document - default"
"Item has been successfully deleted","L'élément a été supprimé avec succès."
"Limit for the total number of articles","Limite totale d'articles"
"The number of articles displayed per page","Le nombre d'article affiché par page"
"Show News Category Block in Right Column","Afficher les catégories dans la colonne de droite"
"Show News Category Block in Left Column","Afficher les catégories dans la colonne de gauche"
"Show Latest News Block","Afficher le bloc dernières actualités"
"Q-ty in the Latest Block","Quantité dans le bloc dernière actualités"
"Newsitem URL Suffix","Suffixe URL article"
"Enable Google Button for News","Autoriser le boutton Google"
"Enable Twitter Button for News","Autoriser le bouton Twitter"
"Enable Facebook Button for News","Autoriser le bouton Facebook"
"Enable LinkedIn Button for News","Autoriser le bouton LinkedIn"
"Default Meta Title","Meta Title par défaut"
"Default Meta Keywords","Mots clés par défaut"
"Default Meta Description","Meta Description par défaut"
"Short Description Image Max Width","Taille maximale de l'image description courte"
"Short Description Image Max Height","Hauteur maximale de l'image description courte"
"Full Description Image Max Width","Taille maximale de l'image description"
"Full Description Image Max Height","Hauteur maximale de l'image description"
"Resize always to Max Values","Toujours redimensionner avec la valeur maximale"
"Enable","Activer"
"Articles to show","Articles à montrer"
"Number of articles to show in the RSS feed.","Nombre d'articles à montrer dans le feed"