"Frequently Asked Questions","Foire aux Questions"
"Most Frequently Asked Questions","Questions les plus fréquemment posées"
"FAQ Topics","FAQ Sujets"
"There are no FAQ items at the moment.","Il n'y a pas d'articles FAQ pour le moment."
"Back to the FAQ overview","Retour à la vue d'ensemble des FAQ"
"The requested FAQ item could not be found!","L'élément FAQ demandé n'a pas pu être trouvé!"
"Error","Erreur"
"Expand All","Développer tout"
"The requested FAQ Category item could not be found!","The requested FAQ Category item could not be found!"
"Search FAQ","FAQ de recherche"
"GO","GO"
"Search Result For - ""%s"" from category ""%s""","Résultat pour - ""%s"" dans la catégorie ""%s"""
"Search Result For : ""%s""","Résultat pour : ""%s"""
"There is no FAQ item found for search string!","Il n'y a pas d'élément trouvé pour la recherche !"
"Back","Retour"
"Faq Item is not active","L'élément n'est pas actif"
"Catagory is not active","La catégorie n'est pas active"
"Please Select Category","Veuillez sélectionner une catégorie"
"Manage FAQ Items","Gérer les FAQ"
"Add New FAQ Item","Ajouter un élément"
"Manage Items","Gérer les éléments"
"Manage Categories","Gérer les catégories"
"New FAQ Category","Nouvelle catégorie"
"Category Information","Information de la catégorie"
"Category Name","Nom de la catégorie"
"Status","Statut"
"Delete FAQ Category","Supprimer"
"General information","Informations générales"
"Save FAQ Category","Sauvegarder"
"Save and continue edit","Sauvegarder et continuer à éditer"
"FAQ item information","Informations"
"FAQ item question","Question"
"Is Most Frequent","Est posé fréquemment ?"
"Category","Catégorie"
"Content","Contenu"
"Save FAQ item","Sauvegarder"
"Enabled","Activé"
"Disabled","Désactivé"
"Manage FAQ Categories","Gérer les catégories"
"Add New FAQ Category","Ajouter une catégorie"
"Yes","Oui"
"No","Non"
"Edit","Editer"
"Select a category from the Frequently Asked Questions:","Sélectionnez une catégorie dans les questions fréquentes :"
"Please select","Veuillez sélectionner"